estimator,estimator__act,estimator__learning_rate,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0017511648761406853,4,134,0.02716093750980757,-0.2741871417492036
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.011746384257835123,2,167,0.042495277365130125,-0.2779460748974456
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.000716550122277523,5,194,0.024931918587434914,-0.27834709189892
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.005392664468999852,4,138,0.06658682627803661,-0.2797496834146934
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0003223542375154659,4,198,0.03994596897218558,-0.27988039809907483
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00034436729919337016,3,158,0.025062719376598274,-0.2803192367616039
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.0035880481422443673,1,42,0.013804499415842214,-0.28047007462338086
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.003473918367336918,1,66,0.013602819234387869,-0.2807754664124048
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0017126037432603919,2,57,0.03622458844937894,-0.2812443227308658
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.025997245592468916,1,132,0.0549623518565903,-0.28434365759808666
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.007152998066913158,2,87,0.04483462618687745,-0.28575166968420657
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00033100809939065243,4,173,0.029858818246269528,-0.28664233430121516
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0006452089673419202,1,141,0.015440735313316797,-0.2874597691383969
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0005207915786078663,3,113,0.026055353789620733,-0.2896206699526173
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.013596104100249036,2,129,0.04511634333550643,-0.2901221201376522
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0065212815415403485,4,177,0.05783035609850852,-0.29034585590015116
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.000469469200837725,1,158,0.02956758932630978,-0.2903607879785448
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.026028956871918946,3,178,0.048918550150965565,-0.2920381895477504
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.01498854866201671,3,145,0.040655119277950895,-0.29400528133224346
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0003162104163189022,4,132,0.03569342853160888,-0.2940623726888162
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.002025093756478777,4,115,0.021267268839141956,-0.29461129517375795
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.018185450073404573,3,69,0.030415725137861078,-0.2950154895090679
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.0026773191140143427,2,179,0.023777524795604917,-0.29507930080157974
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.025476683141605772,4,159,0.06501400853997537,-0.2965566608475613
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0081703423616553,4,170,0.056195173374404675,-0.2972566162492258
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0010710150168896778,1,51,0.04290215139249928,-0.2996734513821734
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0009244286562536305,4,143,0.0364907136595045,-0.29978807898704374
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00113218722279702,1,46,0.03261941076289256,-0.30116007435998887
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.001242901890258904,1,190,0.013532056901830522,-0.3012345069444121
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.014955030597776578,1,27,0.03691618337379984,-0.3037234038764744
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00036213539517477287,5,124,0.02831942478417038,-0.30475141679253065
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.012002480670551213,3,90,0.04012818150324484,-0.30543480910117504
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.001124478979441475,2,45,0.023735365844615348,-0.30721733058997974
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00040363809257401784,2,112,0.0218250499265689,-0.3087026850895476
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.001213287664569282,4,129,0.07953896176788079,-0.3098344085837228
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00048336831811749786,2,100,0.02370794928109832,-0.3099802273578212
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0007304556281625834,4,163,0.08807589851448012,-0.3102020421678158
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.0011572043559019576,1,169,0.025073372352625464,-0.31160987392066436
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0004613602434893305,5,99,0.020966919575702573,-0.3124688877895266
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.008552296221882093,3,82,0.00480401302145945,-0.3124769970057325
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0041073001596534115,4,102,0.04470213909052747,-0.31297548309620915
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.00032993109898517026,5,192,0.07061148053085525,-0.3139558185881198
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.002940050671232438,4,175,0.04646730193046979,-0.31549370351531825
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.003704076395614501,3,179,0.08354347200528589,-0.3171165953232227
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.001073763794884525,2,52,0.04161532986856926,-0.31719327175369394
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.0035634257471298908,1,32,0.02811664012672205,-0.31764926313205183
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0021288081763092825,4,194,0.08204706124033433,-0.3178849856824682
